period,index
2020.4.6,48.6217
2020.4.7,49.1359
2020.4.8,47.9652
2020.4.9,46.9918
2020.4.10,43.0878
2020.4.11,33.9199
2020.4.12,38.3706
2020.4.13,48.4316
2020.4.14,45.3421
2020.4.15,37.3227
2020.4.16,45.3046
2020.4.17,46.4563
2020.4.18,34.7777
2020.4.19,39.5206
2020.4.20,49.6615
2020.4.21,48.8601
2020.4.22,49.4587
2020.4.23,47.1313
2020.4.24,43.1384
2020.4.25,33.3898
2020.4.26,35.3615
2020.4.27,47.6144
2020.4.28,44.9646
2020.4.29,39.1905
2020.4.30,31.4349
2020.5.1,32.164
2020.5.2,29.6018
2020.5.3,33.4819
2020.5.4,38.3494
2020.5.5,35.4653
2020.5.6,44.9908
2020.5.7,43.016
2020.5.8,38.1291
2020.5.9,34.4269
2020.5.10,32.1929
2020.5.11,44.4323
2020.5.12,44.5357
2020.5.13,44.9452
2020.5.14,45.3651
2020.5.15,50.5924
2020.5.16,35.2296
2020.5.17,34.2373
2020.5.18,50.7983
2020.5.19,51.644
2020.5.20,47.6898
2020.5.21,46.2604
2020.5.22,41.2967
2020.5.23,31.1721
2020.5.24,34.7181
2020.5.25,47.8361
2020.5.26,47.5498
2020.5.27,46.5575
2020.5.28,44.3176
2020.5.29,39.7775
2020.5.30,29.4804
2020.5.31,32.4151
2020.6.1,45.0897
2020.6.2,46.4026
2020.6.3,45.3935
2020.6.4,42.383
2020.6.5,38.1435
2020.6.6,28.4844
2020.6.7,30.3947
2020.6.8,43.2092
2020.6.9,42.7104
2020.6.10,42.1352
2020.6.11,41.2046
2020.6.12,37.4546
2020.6.13,29.0998
2020.6.14,30.5315
2020.6.15,42.0471
2020.6.16,43.0819
2020.6.17,42.5221
2020.6.18,42.7465
2020.6.19,37.4591
2020.6.20,27.6044
2020.6.21,29.2871
2020.6.22,41.6593
2020.6.23,40.089
2020.6.24,42.7347
2020.6.25,40.8019
2020.6.26,35.6716
2020.6.27,26.6807
2020.6.28,28.3002
2020.6.29,40.848
2020.6.30,41.5906
2020.7.1,40.0267
2020.7.2,39.1404
2020.7.3,35.9994
2020.7.4,26.6811
2020.7.5,27.4735
2020.7.6,40.6001
2020.7.7,40.7003
2020.7.8,40.5066
2020.7.9,38.8822
2020.7.10,35.2495
2020.7.11,26.031
2020.7.12,28.3079
2020.7.13,44.2924
2020.7.14,44.8594
2020.7.15,42.1216
2020.7.16,37.1792
2020.7.17,34.7569
2020.7.18,25.4441
2020.7.19,28.041
2020.7.20,40.4244
2020.7.21,39.8944
2020.7.22,41.3301
2020.7.23,40.6105
2020.7.24,36.7548
